360,2,0,387,29,97
397,2,180,220,51,95
398,2,179,217,48,91
399,2,178,216,44,91
399,4,1323,297,49,98
400,2,175,215,40,91
400,4,1321,297,50,98
401,2,171,214,41,91
401,4,1320,297,50,98
402,2,167,215,42,90
402,4,1320,297,48,97
403,2,162,217,46,89
403,4,1320,297,48,97
404,2,156,217,51,89
404,4,1320,297,47,97
405,2,152,217,53,89
405,4,1319,297,45,97
406,2,147,217,54,89
406,4,1319,295,40,99
407,2,142,219,55,87
407,4,1319,295,32,99
408,2,136,218,56,88
408,4,1317,295,30,99
409,2,131,217,53,89
409,4,1313,295,31,98
410,2,126,217,50,89
410,4,1310,295,32,98
411,2,120,215,50,91
411,4,1307,294,33,99
412,2,115,214,51,92
412,4,1304,294,34,99
413,2,110,213,55,94
413,4,1298,294,39,99
414,2,106,211,57,96
414,4,1294,294,42,99
415,2,101,210,62,96
415,4,1291,294,45,99
416,2,100,212,59,94
416,4,1290,294,44,99
417,2,94,215,57,91
417,4,1289,294,45,98
418,2,90,217,53,89
418,4,1289,293,44,99
419,2,84,217,51,87
419,4,1290,293,39,97
420,2,78,216,51,88
420,4,1288,295,39,96
421,2,73,214,50,90
421,4,1287,293,36,97
422,2,66,213,55,92
422,4,1284,292,32,98
423,2,60,213,59,91
423,4,1282,292,32,98
424,2,55,212,59,92
424,4,1279,292,32,98
425,2,50,212,58,94
425,4,1276,291,32,100
426,2,43,213,58,94
426,4,1267,291,41,98
427,2,40,215,53,93
427,4,1260,291,46,100
428,2,33,216,52,92
428,4,1254,291,52,101
429,2,27,214,49,93
429,4,1251,291,55,101
430,2,21,214,51,93
430,4,1250,292,56,101
431,2,14,213,56,93
431,4,1249,294,57,97
432,2,9,211,55,94
432,4,1249,293,56,97
433,2,5,212,54,92
433,4,1249,293,51,97
434,2,3,211,51,93
434,4,1249,292,51,98
435,2,0,210,50,96
435,4,1249,292,44,98
436,2,0,211,46,97
436,4,1249,291,40,98
437,4,1248,291,34,98
438,4,1246,291,31,99
439,4,1243,290,31,100
440,4,1239,290,32,100
441,4,1235,291,34,99
442,4,1228,291,39,98
443,4,1220,291,47,98
444,4,1216,291,51,98
445,4,1215,292,52,97
446,4,1214,292,53,97
447,4,1214,292,53,97
448,4,1214,292,48,97
449,4,1214,291,46,98
450,4,1212,290,43,99
451,4,1212,290,38,98
452,4,1210,290,35,98
453,4,1207,289,32,98
454,4,1206,289,30,99
455,4,1200,290,35,100
456,4,1194,290,39,100
457,4,1186,290,48,100
458,4,1181,291,52,99
459,4,1179,291,54,99
460,4,1177,291,54,99
461,4,1177,291,53,99
462,4,1176,291,54,99
463,4,1176,291,50,98
464,4,1176,291,47,98
465,4,1175,291,43,100
466,4,1175,290,38,101
467,4,1172,290,37,101
468,4,1172,290,33,102
469,4,1170,290,33,102
470,4,1165,290,36,102
471,4,1156,290,43,103
