Traceback (most recent call last):
  File "demo_detectron2_deepsort.py", line 6, in <module>
    import cv2
ModuleNotFoundError: No module named 'cv2'
[5m[31mWARNING[0m [32m[06/11 23:29:32 d2.config.compat]: [0mConfig 'detectron2/configs/COCO-InstanceSegmentation/mask_rcnn_R_101_FPN_3x.yaml' has no VERSION. Assuming it to be compatible with latest v2.
Loading weights from deep_sort/deep/checkpoint/ckpt.t7... Done!
time: 4.839056015014648s, fps: 0.20665187526186818
time: 5.079919338226318s, fps: 0.19685351940039966
time: 5.427020072937012s, fps: 0.18426318431853833
time: 4.7754600048065186s, fps: 0.2094039106166728
time: 5.018249034881592s, fps: 0.1992726931344083
time: 4.977069854736328s, fps: 0.20092143152227815
time: 5.1740593910217285s, fps: 0.19327184410276524
time: 5.414352655410767s, fps: 0.184694286398331
time: 5.052276134490967s, fps: 0.1979305907634744
time: 5.295221567153931s, fps: 0.18884951032133654
time: 5.102109432220459s, fps: 0.19599736408726848
time: 5.327214956283569s, fps: 0.1877153462374327
time: 5.3861212730407715s, fps: 0.1856623624509374
time: 5.337058782577515s, fps: 0.18736911859851269
time: 5.064691066741943s, fps: 0.1974454091714795
time: 5.380457878112793s, fps: 0.18585778806445227
time: 5.207016468048096s, fps: 0.1920485571989866
time: 5.213148355484009s, fps: 0.19182266296873038
time: 5.432944297790527s, fps: 0.18406225891303185
time: 5.5800940990448s, fps: 0.17920844742944028
time: 5.156124114990234s, fps: 0.1939441289034785
time: 4.771952867507935s, fps: 0.2095578116055936
time: 4.727161884307861s, fps: 0.21154342171347437
time: 5.165427207946777s, fps: 0.19359482957412408
time: 5.251128435134888s, fps: 0.19043525831687502
time: 5.01865553855896s, fps: 0.19925655234093564
time: 5.30062198638916s, fps: 0.18865710525439874
time: 5.492859601974487s, fps: 0.18205453488025355
time: 5.009491443634033s, fps: 0.19962106158915213
time: 4.239049911499023s, fps: 0.2359019169100506
time: 4.7096641063690186s, fps: 0.2123293673210517
time: 5.096845626831055s, fps: 0.1961997818289322
time: 5.307086706161499s, fps: 0.18842729643723466
time: 5.288203477859497s, fps: 0.1891001365939817
time: 5.437658786773682s, fps: 0.18390267562068355
time: 5.545557260513306s, fps: 0.1803245288116344
time: 4.958306074142456s, fps: 0.20168178104514273
time: 5.3850061893463135s, fps: 0.1857008079170639
time: 5.640162706375122s, fps: 0.17729984967804063
time: 5.257155418395996s, fps: 0.1902169368059331
time: 4.894120931625366s, fps: 0.20432678594803216
time: 5.222324848175049s, fps: 0.19148559866961395
time: 4.866265296936035s, fps: 0.20549640000713354
time: 4.986999034881592s, fps: 0.20052139433063743
time: 4.956998825073242s, fps: 0.2017349681306863
time: 5.543453693389893s, fps: 0.18039295632475777
time: 5.0474348068237305s, fps: 0.19812043904917395
time: 5.011983633041382s, fps: 0.19952180079111273
time: 5.399740695953369s, fps: 0.1851940780692325
time: 5.126816749572754s, fps: 0.1950528073942443
time: 4.610338449478149s, fps: 0.21690381540496043
time: 4.729066371917725s, fps: 0.21145822903612185
time: 4.710695266723633s, fps: 0.21228288891111327
time: 5.076479196548462s, fps: 0.1969869197297032
time: 5.316326379776001s, fps: 0.18809981339823875
time: 5.467747688293457s, fps: 0.18289066303132775
time: 5.1888978481292725s, fps: 0.1927191533285869
time: 5.386915445327759s, fps: 0.1856349909607977
time: 5.160768985748291s, fps: 0.19376957247292945
time: 5.099743604660034s, fps: 0.19608828943600654
time: 5.281385183334351s, fps: 0.18934426581033043
time: 5.036476373672485s, fps: 0.19855151216977168
time: 5.0647406578063965s, fps: 0.19744347589815442
time: 4.6971964836120605s, fps: 0.2128929465669313
time: 4.691871881484985s, fps: 0.21313454954859046
time: 4.734070777893066s, fps: 0.21123469565975891
time: 4.866057395935059s, fps: 0.20550517978587068
time: 4.961626291275024s, fps: 0.20154681979142425
time: 4.912713289260864s, fps: 0.2035535031498762
time: 5.680087566375732s, fps: 0.17605362387715184
time: 5.410704612731934s, fps: 0.18481881225726113
time: 4.955665588378906s, fps: 0.20178924145830415
time: 4.723987579345703s, fps: 0.21168556927884752
time: 4.637079477310181s, fps: 0.2156529783224823
time: 4.698686599731445s, fps: 0.21282543084638914
time: 5.074147701263428s, fps: 0.1970774322850332
time: 4.971558332443237s, fps: 0.20114417515213123
time: 4.939499378204346s, fps: 0.20244966613671883
time: 5.18116307258606s, fps: 0.19300685695284878
time: 5.135148763656616s, fps: 0.19473632527987836
time: 4.883641004562378s, fps: 0.20476525589530098
time: 4.87187647819519s, fps: 0.20525971963280454
time: 5.129929304122925s, fps: 0.1949344602461285
time: 4.900036573410034s, fps: 0.2040801094070365
time: 4.863474369049072s, fps: 0.2056143250931791
time: 4.79590106010437s, fps: 0.20851139076214337
time: 4.95864200592041s, fps: 0.20166811776410598
time: 4.624197483062744s, fps: 0.21625373995439098
time: 4.9697794914245605s, fps: 0.20121617100427033
time: 5.051273822784424s, fps: 0.19796986563851887
time: 5.060633182525635s, fps: 0.19760373137752796
time: 4.937602281570435s, fps: 0.20252745016189191
time: 4.927307844161987s, fps: 0.20295058308257075
time: 4.983331918716431s, fps: 0.20066895328488826
time: 5.175318002700806s, fps: 0.1932248413485195
time: 4.94478964805603s, fps: 0.20223307181391123
time: 5.0058770179748535s, fps: 0.19976519527132805
time: 5.094299793243408s, fps: 0.19629783102406032
time: 4.983362197875977s, fps: 0.20066773401022767
time: 5.196920871734619s, fps: 0.1924216328631961
time: 5.390333652496338s, fps: 0.18551727304243704
time: 5.198173761367798s, fps: 0.1923752544464519
time: 5.122853517532349s, fps: 0.19520370757774363
time: 5.132188081741333s, fps: 0.19484866572947257
time: 5.221659898757935s, fps: 0.19150998329819754
time: 5.334247589111328s, fps: 0.18746786370420376
time: 4.888161659240723s, fps: 0.20457588551916464
time: 5.258067607879639s, fps: 0.19018393725128588
